"ensembl_gene_id"	"description"	"uniprot_gn_symbol"
"27"	"ENSMUSG00000000776"	"polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]"	"Polr3d"
"28"	"ENSMUSG00000000794"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]"	"Kcnn3"
"29"	"ENSMUSG00000000805"	"carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"	"Car4"
"30"	"ENSMUSG00000000805"	"carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"	"Ca4"
"31"	"ENSMUSG00000000811"	"thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]"	""
"32"	"ENSMUSG00000000823"	"zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]"	"Zfp512b"
"33"	"ENSMUSG00000000826"	"DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]"	"Dnajc5"
"34"	"ENSMUSG00000000827"	"tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]"	"Tpd52l2"
"35"	"ENSMUSG00000000838"	"fragile X messenger ribonucleoprotein 1 [Source:MGI Symbol;Acc:MGI:95564]"	"Fmr1"
"36"	"ENSMUSG00000000881"	"discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]"	"Dlg3"
"37"	"ENSMUSG00000000901"	"matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]"	"Mmp11"
"38"	"ENSMUSG00000000915"	"huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]"	"Hip1r"
"39"	"ENSMUSG00000000934"	"DNA topoisomerase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1920210]"	"Top1mt"
"40"	"ENSMUSG00000001016"	"interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]"	"Ilf2"
"41"	"ENSMUSG00000001025"	"S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]"	"S100a6"
"42"	"ENSMUSG00000001056"	"NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"	"Nhp2"
"43"	"ENSMUSG00000001065"	"zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]"	"Zfp276"
"44"	"ENSMUSG00000001065"	"zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]"	"Znf276"
"45"	"ENSMUSG00000001098"	"potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]"	"Kctd10"
"46"	"ENSMUSG00000001119"	"collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]"	"Col6a1"
"47"	"ENSMUSG00000001150"	"minichromosome maintenance complex component 3 associated protein [Source:MGI Symbol;Acc:MGI:1930089]"	"Mcm3ap"
"48"	"ENSMUSG00000001155"	"formiminotransferase cyclodeaminase [Source:MGI Symbol;Acc:MGI:1339962]"	"Ftcd"
"49"	"ENSMUSG00000001227"	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]"	"Sema6b"
"50"	"ENSMUSG00000001228"	"ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"	"Uhrf1"
"51"	"ENSMUSG00000001229"	"dipeptidylpeptidase 9 [Source:MGI Symbol;Acc:MGI:2443967]"	"Dpp9"
"52"	"ENSMUSG00000001247"	"lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471]"	"Lsr"
"53"	"ENSMUSG00000001248"	"GRAM domain containing 1A [Source:MGI Symbol;Acc:MGI:105490]"	"Gramd1a"
"54"	"ENSMUSG00000001249"	"hepsin [Source:MGI Symbol;Acc:MGI:1196620]"	"Hpn"
"55"	"ENSMUSG00000001403"	"ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]"	"Ube2c"
"56"	"ENSMUSG00000001420"	"transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]"	"Tmem79"
"57"	"ENSMUSG00000001424"	"staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]"	"Snd1"
"58"	"ENSMUSG00000001436"	"solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]"	"Slc19a1"
"59"	"ENSMUSG00000001440"	"karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532]"	"Kpnb1"
"60"	"ENSMUSG00000001467"	"cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]"	"Cyp51a1"
"61"	"ENSMUSG00000001482"	"differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331]"	"Def8"
"62"	"ENSMUSG00000001506"	"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]"	"Col1a1"
"63"	"ENSMUSG00000001507"	"integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]"	"Itga3"
"64"	"ENSMUSG00000001517"	"forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]"	"Foxm1"
"65"	"ENSMUSG00000001525"	"tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]"	"Tubb5"
"66"	"ENSMUSG00000001542"	"elongation factor for RNA polymerase II 2 [Source:MGI Symbol;Acc:MGI:2183438]"	"Ell2"
"67"	"ENSMUSG00000001552"	"junction plakoglobin [Source:MGI Symbol;Acc:MGI:96650]"	"Jup"
"68"	"ENSMUSG00000001555"	"FK506 binding protein 10 [Source:MGI Symbol;Acc:MGI:104769]"	"Fkbp10"
"69"	"ENSMUSG00000001583"	"tyrosine kinase, non-receptor, 1 [Source:MGI Symbol;Acc:MGI:1930958]"	"Tnk1"
"70"	"ENSMUSG00000001604"	"transcription elongation factor A (SII), 3 [Source:MGI Symbol;Acc:MGI:1196908]"	"Tcea3"
"71"	"ENSMUSG00000001627"	"interferon-related developmental regulator 1 [Source:MGI Symbol;Acc:MGI:1316717]"	"Ifrd1"
"72"	"ENSMUSG00000001642"	"aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]"	"Akr1b3"
"73"	"ENSMUSG00000001642"	"aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]"	"Akr1b1"
"74"	"ENSMUSG00000001657"	"homeobox C8 [Source:MGI Symbol;Acc:MGI:96198]"	"Hoxc8"
"75"	"ENSMUSG00000001670"	"tyrosine aminotransferase [Source:MGI Symbol;Acc:MGI:98487]"	"Tat"
"76"	"ENSMUSG00000001672"	"MARVEL (membrane-associating) domain containing 3 [Source:MGI Symbol;Acc:MGI:1920858]"	"Marveld3"
"77"	"ENSMUSG00000001687"	"ubiquitin-like 3 [Source:MGI Symbol;Acc:MGI:1344373]"	"Ubl3"
"78"	"ENSMUSG00000001700"	"GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815]"	"Gramd3"
"79"	"ENSMUSG00000001700"	"GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815]"	"Gramd2b"
"80"	"ENSMUSG00000001761"	"smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]"	"Smo"
"81"	"ENSMUSG00000001768"	"Ras and Rab interactor 2 [Source:MGI Symbol;Acc:MGI:1921280]"	"Rin2"
"82"	"ENSMUSG00000001794"	"calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]"	"Capns1"
"83"	"ENSMUSG00000001891"	"UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]"	"Ugp2"
"84"	"ENSMUSG00000001946"	"endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]"	"Esam"
"85"	"ENSMUSG00000002017"	"family with sequence similarity 98, member A [Source:MGI Symbol;Acc:MGI:1919972]"	"Fam98a"
"86"	"ENSMUSG00000002028"	"lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]"	"Kmt2a"
"87"	"ENSMUSG00000002055"	"sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470]"	"Spag5"
"88"	"ENSMUSG00000002064"	"stromal cell derived factor 2 [Source:MGI Symbol;Acc:MGI:108019]"	"Sdf2"
"89"	"ENSMUSG00000002068"	"cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]"	"Ccne1"
"90"	"ENSMUSG00000002109"	"damage specific DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1355314]"	"Ddb2"
"91"	"ENSMUSG00000002129"	"splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]"	"Sf3a1"
"92"	"ENSMUSG00000002147"	"signal transducer and activator of transcription 6 [Source:MGI Symbol;Acc:MGI:103034]"	"Stat6"
"93"	"ENSMUSG00000002233"	"ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]"	"Rhoc"
"94"	"ENSMUSG00000002250"	"peroxisome proliferator activator receptor delta [Source:MGI Symbol;Acc:MGI:101884]"	"Ppard"
"95"	"ENSMUSG00000002289"	"angiopoietin-like 4 [Source:MGI Symbol;Acc:MGI:1888999]"	"Angptl4"
"96"	"ENSMUSG00000002297"	"DBF4 zinc finger [Source:MGI Symbol;Acc:MGI:1351328]"	"Dbf4"
"97"	"ENSMUSG00000002325"	"interferon regulatory factor 9 [Source:MGI Symbol;Acc:MGI:107587]"	"Irf9"
"98"	"ENSMUSG00000002393"	"nuclear receptor subfamily 2, group F, member 6 [Source:MGI Symbol;Acc:MGI:1352453]"	"Nr2f6"
"99"	"ENSMUSG00000002409"	"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b [Source:MGI Symbol;Acc:MGI:1330302]"	"Dyrk1b"
"100"	"ENSMUSG00000002428"	"helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"	"Hltf"
"101"	"ENSMUSG00000002477"	"small nuclear ribonucleoprotein D1 [Source:MGI Symbol;Acc:MGI:98344]"	"Snrpd1"
"102"	"ENSMUSG00000002504"	"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2 [Source:MGI Symbol;Acc:MGI:1890662]"	"Slc9a3r2"
"103"	"ENSMUSG00000002602"	"AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]"	"Axl"
"104"	"ENSMUSG00000002603"	"transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]"	"Tgfb1"
"105"	"ENSMUSG00000002658"	"general transcription factor IIF, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1923848]"	"Gtf2f1"
"106"	"ENSMUSG00000002718"	"chromosome segregation 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1339951]"	"Cse1l"
"107"	"ENSMUSG00000002748"	"bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]"	"Baz1b"
"108"	"ENSMUSG00000002771"	"glutamate receptor, ionotropic, NMDA2D (epsilon 4) [Source:MGI Symbol;Acc:MGI:95823]"	"Grin2d"
"109"	"ENSMUSG00000002812"	"flightless I actin binding protein [Source:MGI Symbol;Acc:MGI:1342286]"	"Flii"
"110"	"ENSMUSG00000002820"	"autophagy related 4D, cysteine peptidase [Source:MGI Symbol;Acc:MGI:2444308]"	"Atg4d"
"111"	"ENSMUSG00000002833"	"HDGF like 2 [Source:MGI Symbol;Acc:MGI:1194492]"	"Hdgfl2"
"112"	"ENSMUSG00000002835"	"chromatin assembly factor 1, subunit A (p150) [Source:MGI Symbol;Acc:MGI:1351331]"	"Chaf1a"
"113"	"ENSMUSG00000002845"	"transmembrane protein 39a [Source:MGI Symbol;Acc:MGI:1915096]"	"Tmem39a"
"114"	"ENSMUSG00000002870"	"minichromosome maintenance complex component 2 [Source:MGI Symbol;Acc:MGI:105380]"	"Mcm2"
"115"	"ENSMUSG00000002871"	"transmembrane protein, adipocyte asscociated 1 [Source:MGI Symbol;Acc:MGI:1345190]"	"Tpra1"
"116"	"ENSMUSG00000002885"	"adhesion G protein-coupled receptor E5 [Source:MGI Symbol;Acc:MGI:1347095]"	"Adgre5"
"117"	"ENSMUSG00000002897"	"interleukin 17 receptor A [Source:MGI Symbol;Acc:MGI:107399]"	"Il17ra"
"118"	"ENSMUSG00000002900"	"laminin B1 [Source:MGI Symbol;Acc:MGI:96743]"	"Lamb1"
"119"	"ENSMUSG00000002910"	"arrestin domain containing 2 [Source:MGI Symbol;Acc:MGI:1918057]"	"Arrdc2"
"120"	"ENSMUSG00000002944"	"CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]"	"Cd36"
"121"	"ENSMUSG00000002983"	"avian reticuloendotheliosis viral (v-rel) oncogene related B [Source:MGI Symbol;Acc:MGI:103289]"	"Relb"
"122"	"ENSMUSG00000002984"	"translocase of outer mitochondrial membrane 40 [Source:MGI Symbol;Acc:MGI:1858259]"	"Tomm40"
"123"	"ENSMUSG00000002996"	"high mobility group box transcription factor 1 [Source:MGI Symbol;Acc:MGI:894659]"	"Hbp1"
"124"	"ENSMUSG00000003032"	"Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]"	"Klf4"
"125"	"ENSMUSG00000003038"	"high mobility group nucleosomal binding domain 2 [Source:MGI Symbol;Acc:MGI:96136]"	"Hmgn2"
"126"	"ENSMUSG00000003039"	"family with sequence similarity 32, member A [Source:MGI Symbol;Acc:MGI:1915172]"	"Fam32a"
"127"	"ENSMUSG00000003123"	"lipase, hormone sensitive [Source:MGI Symbol;Acc:MGI:96790]"	"Lipe"
"128"	"ENSMUSG00000003134"	"TBC1 domain family, member 8 [Source:MGI Symbol;Acc:MGI:1927225]"	"Tbc1d8"
"129"	"ENSMUSG00000003135"	"CCR4-NOT transcription complex, subunit 11 [Source:MGI Symbol;Acc:MGI:106580]"	"Cnot11"
"130"	"ENSMUSG00000003153"	"solute carrier family 2 (facilitated glucose transporter), member 3 [Source:MGI Symbol;Acc:MGI:95757]"	"Slc2a3"
"131"	"ENSMUSG00000003161"	"sorcin [Source:MGI Symbol;Acc:MGI:98419]"	"Sri"
"132"	"ENSMUSG00000003184"	"interferon regulatory factor 3 [Source:MGI Symbol;Acc:MGI:1859179]"	"Irf3"
"133"	"ENSMUSG00000003199"	"MPN domain containing [Source:MGI Symbol;Acc:MGI:1915297]"	"Mpnd"
"134"	"ENSMUSG00000003200"	"SH3-domain GRB2-like 1 [Source:MGI Symbol;Acc:MGI:700010]"	"Sh3gl1"
"135"	"ENSMUSG00000003228"	"G protein-coupled receptor kinase 5 [Source:MGI Symbol;Acc:MGI:109161]"	"Grk5"
"136"	"ENSMUSG00000003269"	"cytohesin 2 [Source:MGI Symbol;Acc:MGI:1334255]"	"Cyth2"
"137"	"ENSMUSG00000003352"	"calcium channel, voltage-dependent, beta 3 subunit [Source:MGI Symbol;Acc:MGI:103307]"	"Cacnb3"
"138"	"ENSMUSG00000003380"	"Rab acceptor 1 (prenylated) [Source:MGI Symbol;Acc:MGI:1201692]"	"Rabac1"
"139"	"ENSMUSG00000003423"	"PIH1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916095]"	"Pih1d1"
"140"	"ENSMUSG00000003534"	"discoidin domain receptor family, member 1 [Source:MGI Symbol;Acc:MGI:99216]"	"Ddr1"
"141"	"ENSMUSG00000003541"	"immediate early response 3 [Source:MGI Symbol;Acc:MGI:104814]"	"Ier3"
"142"	"ENSMUSG00000003559"	"arsenite methyltransferase [Source:MGI Symbol;Acc:MGI:1929882]"	"As3mt"
"143"	"ENSMUSG00000003581"	"ring finger protein 215 [Source:MGI Symbol;Acc:MGI:1918923]"	"Rnf215"
"144"	"ENSMUSG00000003617"	"ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"	"Cp"
"145"	"ENSMUSG00000003752"	"inositol 1,4,5-trisphosphate 3-kinase C [Source:MGI Symbol;Acc:MGI:2442554]"	"Itpkc"
"146"	"ENSMUSG00000003778"	"bromodomain containing 8 [Source:MGI Symbol;Acc:MGI:1925906]"	"Brd8"
"147"	"ENSMUSG00000003779"	"kinesin family member 20A [Source:MGI Symbol;Acc:MGI:1201682]"	"Kif20a"
"148"	"ENSMUSG00000003809"	"glutaryl-Coenzyme A dehydrogenase [Source:MGI Symbol;Acc:MGI:104541]"	"Gcdh"
"149"	"ENSMUSG00000003810"	"microtubule associated serine/threonine kinase 2 [Source:MGI Symbol;Acc:MGI:894676]"	"Mast2"
"150"	"ENSMUSG00000003824"	"synaptonemal complex central element protein 2 [Source:MGI Symbol;Acc:MGI:1919096]"	"Syce2"
"151"	"ENSMUSG00000003847"	"nuclear factor of activated T cells 5 [Source:MGI Symbol;Acc:MGI:1859333]"	"Nfat5"
"152"	"ENSMUSG00000003868"	"RuvB-like protein 2 [Source:MGI Symbol;Acc:MGI:1342299]"	"Ruvbl2"
"153"	"ENSMUSG00000003934"	"ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]"	"Efnb3"
"154"	"ENSMUSG00000003948"	"monocyte to macrophage differentiation-associated [Source:MGI Symbol;Acc:MGI:1914718]"	"Mmd"
"155"	"ENSMUSG00000004040"	"signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]"	"Stat3"
"156"	"ENSMUSG00000004044"	"caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]"	"Cavin1"
"157"	"ENSMUSG00000004099"	"DNA methyltransferase (cytosine-5) 1 [Source:MGI Symbol;Acc:MGI:94912]"	"Dnmt1"
"158"	"ENSMUSG00000004187"	"kinesin family member C2 [Source:MGI Symbol;Acc:MGI:109187]"	"Kifc2"
"159"	"ENSMUSG00000004221"	"inhibitor of kappaB kinase gamma [Source:MGI Symbol;Acc:MGI:1338074]"	"Ikbkg"
"160"	"ENSMUSG00000004317"	"chloride channel, voltage-sensitive 5 [Source:MGI Symbol;Acc:MGI:99486]"	"Clcn5"
"161"	"ENSMUSG00000004356"	"UTP20 small subunit processome component [Source:MGI Symbol;Acc:MGI:1917933]"	"Utp20"
"162"	"ENSMUSG00000004394"	"transmembrane p24 trafficking protein 4 [Source:MGI Symbol;Acc:MGI:1915070]"	"Tmed4"
"163"	"ENSMUSG00000004415"	"collagen, type XXVI, alpha 1 [Source:MGI Symbol;Acc:MGI:2155345]"	"Col26a1"
"164"	"ENSMUSG00000004500"	"zinc finger protein 324 [Source:MGI Symbol;Acc:MGI:2444641]"	"Zfp324"
"165"	"ENSMUSG00000004508"	"growth factor receptor bound protein 2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1333854]"	"Gab2"
"166"	"ENSMUSG00000004535"	"Tax1 (human T cell leukemia virus type I) binding protein 1 [Source:MGI Symbol;Acc:MGI:1289308]"	"Tax1bp1"
"167"	"ENSMUSG00000004568"	"rho/rac guanine nucleotide exchange factor (GEF) 18 [Source:MGI Symbol;Acc:MGI:2142567]"	"Arhgef18"
"168"	"ENSMUSG00000004609"	"CD33 antigen [Source:MGI Symbol;Acc:MGI:99440]"	"Cd33"
"169"	"ENSMUSG00000004631"	"sarcoglycan, epsilon [Source:MGI Symbol;Acc:MGI:1329042]"	"Sgce"
"170"	"ENSMUSG00000004642"	"stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]"	"Slbp"
"171"	"ENSMUSG00000004655"	"aquaporin 1 [Source:MGI Symbol;Acc:MGI:103201]"	"Aqp1"
"172"	"ENSMUSG00000004788"	"eukaryotic translation initiation factor 2B, subunit 2 beta [Source:MGI Symbol;Acc:MGI:2145118]"	"Eif2b2"
"173"	"ENSMUSG00000004791"	"placental growth factor [Source:MGI Symbol;Acc:MGI:105095]"	"Pgf"
"174"	"ENSMUSG00000004864"	"mitogen-activated protein kinase 13 [Source:MGI Symbol;Acc:MGI:1346864]"	"Mapk13"
"175"	"ENSMUSG00000004880"	"lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]"	"Lbr"
"176"	"ENSMUSG00000004929"	"thimet oligopeptidase 1 [Source:MGI Symbol;Acc:MGI:1354165]"	"Thop1"
"177"	"ENSMUSG00000004947"	"deltex 2, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:1921448]"	"Dtx2"
"178"	"ENSMUSG00000004951"	"heat shock protein 1 [Source:MGI Symbol;Acc:MGI:96240]"	"Hspb1"
"179"	"ENSMUSG00000004980"	"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]"	"Hnrnpa2b1"
"180"	"ENSMUSG00000005087"	"CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"	"Cd44"
"181"	"ENSMUSG00000005124"	"cellular communication network factor 4 [Source:MGI Symbol;Acc:MGI:1197008]"	"Ccn4"
"182"	"ENSMUSG00000005125"	"N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799]"	"Ndrg1"
"183"	"ENSMUSG00000005148"	"Kruppel-like factor 5 [Source:MGI Symbol;Acc:MGI:1338056]"	"Klf5"
"184"	"ENSMUSG00000005161"	"peroxiredoxin 2 [Source:MGI Symbol;Acc:MGI:109486]"	"Prdx2"
"185"	"ENSMUSG00000005233"	"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913692]"	"Spc25"
"186"	"ENSMUSG00000005320"	"fibroblast growth factor receptor 4 [Source:MGI Symbol;Acc:MGI:95525]"	"Fgfr4"
"187"	"ENSMUSG00000005360"	"solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:MGI Symbol;Acc:MGI:99917]"	"Slc1a3"
"188"	"ENSMUSG00000005370"	"mutS homolog 6 [Source:MGI Symbol;Acc:MGI:1343961]"	"Msh6"
"189"	"ENSMUSG00000005373"	"MLX interacting protein-like [Source:MGI Symbol;Acc:MGI:1927999]"	"Mlxipl"
"190"	"ENSMUSG00000005374"	"transducin (beta)-like 2 [Source:MGI Symbol;Acc:MGI:1351652]"	"Tbl2"
"191"	"ENSMUSG00000005410"	"minichromosome maintenance complex component 5 [Source:MGI Symbol;Acc:MGI:103197]"	"Mcm5"
"192"	"ENSMUSG00000005417"	"myosin phosphatase Rho interacting protein [Source:MGI Symbol;Acc:MGI:1349438]"	"Mprip"
"193"	"ENSMUSG00000005447"	"platelet-activating factor acetylhydrolase, isoform 1b, subunit 3 [Source:MGI Symbol;Acc:MGI:108414]"	"Pafah1b3"
"194"	"ENSMUSG00000005469"	"protein kinase, cAMP dependent, catalytic, alpha [Source:MGI Symbol;Acc:MGI:97592]"	"Prkaca"
"195"	"ENSMUSG00000005470"	"anti-silencing function 1B histone chaperone [Source:MGI Symbol;Acc:MGI:1914179]"	"Asf1b"
"196"	"ENSMUSG00000005483"	"DnaJ heat shock protein family (Hsp40) member B1 [Source:MGI Symbol;Acc:MGI:1931874]"	"Dnajb1"
"197"	"ENSMUSG00000005506"	"CUGBP, Elav-like family member 1 [Source:MGI Symbol;Acc:MGI:1342295]"	"Celf1"
"198"	"ENSMUSG00000005514"	"cytochrome p450 oxidoreductase [Source:MGI Symbol;Acc:MGI:97744]"	"Por"
"199"	"ENSMUSG00000005533"	"insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]"	"Igf1r"
"200"	"ENSMUSG00000005566"	"tripartite motif-containing 28 [Source:MGI Symbol;Acc:MGI:109274]"	"Trim28"
"201"	"ENSMUSG00000005615"	"phosphate cytidylyltransferase 1, choline, alpha isoform [Source:MGI Symbol;Acc:MGI:88557]"	"Pcyt1a"
"202"	"ENSMUSG00000005621"	"zinc finger protein 592 [Source:MGI Symbol;Acc:MGI:2443541]"	"Znf592"
"203"	"ENSMUSG00000005656"	"sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433]"	"Snx6"
"204"	"ENSMUSG00000005686"	"adenosine monophosphate deaminase 3 [Source:MGI Symbol;Acc:MGI:1096344]"	"Ampd3"
"205"	"ENSMUSG00000005687"	"BCAS2 pre-mRNA processing factor [Source:MGI Symbol;Acc:MGI:1915433]"	"Bcas2"
